id_inscripcion;id_previa;id_turno;id_fechaExamen;id_calificacion;libro;folio;createdAt;updatedAt
1;61;1;1;2;68;19;2024-04-17 08:00:00;2024-04-17 08:00:00
2;127;1;1;2;68;19;2024-04-17 08:00:00;2024-04-17 08:00:00
3;117;1;2;2;68;20;2024-04-17 08:00:00;2024-04-17 08:00:00
4;91;1;2;2;68;20;2024-04-17 08:00:00;2024-04-17 08:00:00
5;291;1;3;5;68;21;2024-04-18 08:00:00;2024-04-18 08:00:00
6;1039;1;4;9;68;22;2024-04-18 08:00:00;2024-04-18 08:00:00
7;58;1;5;2;68;24;2024-04-19 08:00:00;2024-04-19 08:00:00
8;60;1;5;2;68;24;2024-04-19 08:00:00;2024-04-19 08:00:00
9;41;1;5;2;68;24;2024-04-19 08:00:00;2024-04-19 08:00:00
10;212;1;6;2;68;25;2024-04-19 08:00:00;2024-04-19 08:00:00
11;1112;1;7;2;68;23;2024-04-19 08:00:00;2024-04-19 08:00:00
12;1339;1;8;9;68;23;2024-04-19 08:00:00;2024-04-19 08:00:00
13;1115;1;7;6;68;23;2024-04-19 08:00:00;2024-04-19 08:00:00
14;1119;1;7;2;68;23;2024-04-19 08:00:00;2024-04-19 08:00:00
15;43;1;9;2;68;26;2024-04-22 13:00:00;2024-04-22 13:00:00
16;29;1;9;2;68;26;2024-04-22 13:00:00;2024-04-22 13:00:00
17;80;1;10;2;68;42;2024-04-29 13:00:00;2024-04-29 13:00:00
18;96;1;11;2;68;28;2024-04-22 13:00:00;2024-04-22 13:00:00
19;203;1;12;9;68;27;2024-04-22 13:00:00;2024-04-22 13:00:00
20;318;1;13;9;68;43;2024-04-29 13:00:00;2024-04-29 13:00:00
21;193;1;13;6;68;43;2024-04-29 13:00:00;2024-04-29 13:00:00
22;14;1;14;2;68;29;2024-04-23 08:00:00;2024-04-23 08:00:00
23;2;1;14;4;68;29;2024-04-23 08:00:00;2024-04-23 08:00:00
24;23;1;14;2;68;29;2024-04-23 08:00:00;2024-04-23 08:00:00
25;108;1;14;2;68;29;2024-04-23 08:00:00;2024-04-23 08:00:00
26;9;1;14;9;68;29;2024-04-23 08:00:00;2024-04-23 08:00:00
27;27;1;14;4;68;29;2024-04-23 08:00:00;2024-04-23 08:00:00
28;30;1;14;2;68;29;2024-04-23 08:00:00;2024-04-23 08:00:00
29;34;1;14;4;68;29;2024-04-23 08:00:00;2024-04-23 08:00:00
30;36;1;14;2;68;29;2024-04-23 08:00:00;2024-04-23 08:00:00
31;124;1;14;4;68;29;2024-04-23 08:00:00;2024-04-23 08:00:00
32;103;1;15;4;68;30;2024-04-23 08:00:00;2024-04-23 08:00:00
33;238;1;15;2;68;30;2024-04-23 08:00:00;2024-04-23 08:00:00
