"id_inscripcion_curso";"id_ciclo";"id_plan";"id_curso";"id_division";"id_alumno";"createdAt";"updatedAt"
108;57;5;18;1;230;"2024-12-02";"2024-12-02"
109;57;5;18;1;266;"2024-12-02";"2024-12-02"
110;57;5;18;1;301;"2024-12-02";"2024-12-02"
111;57;5;18;1;328;"2024-12-02";"2024-12-02"
112;57;5;18;1;332;"2024-12-02";"2024-12-02"
113;57;5;18;1;353;"2024-12-02";"2024-12-02"
114;57;5;18;1;387;"2024-12-02";"2024-12-02"
115;57;5;18;1;910;"2024-12-02";"2024-12-02"
116;57;5;18;1;423;"2024-12-02";"2024-12-02"
117;57;5;18;1;425;"2024-12-02";"2024-12-02"
118;57;5;18;1;431;"2024-12-02";"2024-12-02"
119;57;5;18;1;911;"2024-12-02";"2024-12-02"
120;57;5;18;1;449;"2024-12-02";"2024-12-02"
121;57;5;18;1;453;"2024-12-02";"2024-12-02"
122;57;5;18;1;588;"2024-12-02";"2024-12-02"
123;57;5;18;1;625;"2024-12-02";"2024-12-02"
124;57;5;18;1;629;"2024-12-02";"2024-12-02"
125;57;5;18;1;650;"2024-12-02";"2024-12-02"
126;57;5;18;1;715;"2024-12-02";"2024-12-02"
127;57;5;18;1;722;"2024-12-02";"2024-12-02"
128;57;5;18;1;748;"2024-12-02";"2024-12-02"
129;57;5;18;1;753;"2024-12-02";"2024-12-02"
130;57;5;18;1;777;"2024-12-02";"2024-12-02"
131;57;5;18;1;783;"2024-12-02";"2024-12-02"
132;57;5;18;2;88;"2024-12-02";"2024-12-02"
133;57;5;18;2;115;"2024-12-02";"2024-12-02"
134;57;5;18;2;138;"2024-12-02";"2024-12-02"
135;57;5;18;2;146;"2024-12-02";"2024-12-02"
136;57;5;18;2;161;"2024-12-02";"2024-12-02"
137;57;5;18;2;186;"2024-12-02";"2024-12-02"
138;57;5;18;2;912;"2024-12-02";"2024-12-02"
139;57;5;18;2;191;"2024-12-02";"2024-12-02"
140;57;5;18;2;913;"2024-12-02";"2024-12-02"
141;57;5;18;2;245;"2024-12-02";"2024-12-02"
142;57;5;18;2;247;"2024-12-02";"2024-12-02"
143;57;5;18;2;303;"2024-12-02";"2024-12-02"
144;57;5;18;2;323;"2024-12-02";"2024-12-02"
145;57;5;18;2;327;"2024-12-02";"2024-12-02"
146;57;5;18;2;329;"2024-12-02";"2024-12-02"
147;57;5;18;2;352;"2024-12-02";"2024-12-02"
148;57;5;18;2;914;"2024-12-02";"2024-12-02"
149;57;5;18;2;411;"2024-12-02";"2024-12-02"
150;57;5;18;2;426;"2024-12-02";"2024-12-02"
151;57;5;18;2;429;"2024-12-02";"2024-12-02"
152;57;5;18;2;455;"2024-12-02";"2024-12-02"
153;57;5;18;2;472;"2024-12-02";"2024-12-02"
154;57;5;18;2;477;"2024-12-02";"2024-12-02"
155;57;5;18;2;485;"2024-12-02";"2024-12-02"
156;57;5;18;2;501;"2024-12-02";"2024-12-02"
157;57;5;18;2;507;"2024-12-02";"2024-12-02"
158;57;5;18;2;508;"2024-12-02";"2024-12-02"
159;57;5;18;2;515;"2024-12-02";"2024-12-02"
160;57;5;18;2;518;"2024-12-02";"2024-12-02"
161;57;5;18;2;554;"2024-12-02";"2024-12-02"
162;57;5;18;2;564;"2024-12-02";"2024-12-02"
163;57;5;18;2;605;"2024-12-02";"2024-12-02"
164;57;5;18;2;792;"2024-12-02";"2024-12-02"
165;57;5;18;2;639;"2024-12-02";"2024-12-02"
166;57;5;18;2;640;"2024-12-02";"2024-12-02"
167;57;5;18;2;756;"2024-12-02";"2024-12-02"
168;57;5;18;2;791;"2024-12-02";"2024-12-02"
169;57;5;18;3;2;"2024-12-02";"2024-12-02"
170;57;5;18;3;116;"2024-12-02";"2024-12-02"
171;57;5;18;3;188;"2024-12-02";"2024-12-02"
172;57;5;18;3;195;"2024-12-02";"2024-12-02"
173;57;5;18;3;209;"2024-12-02";"2024-12-02"
174;57;5;18;3;789;"2024-12-02";"2024-12-02"
175;57;5;18;3;298;"2024-12-02";"2024-12-02"
176;57;5;18;3;312;"2024-12-02";"2024-12-02"
177;57;5;18;3;313;"2024-12-02";"2024-12-02"
178;57;5;18;3;326;"2024-12-02";"2024-12-02"
179;57;5;18;3;343;"2024-12-02";"2024-12-02"
180;57;5;18;3;790;"2024-12-02";"2024-12-02"
181;57;5;18;3;376;"2024-12-02";"2024-12-02"
182;57;5;18;3;430;"2024-12-02";"2024-12-02"
183;57;5;18;3;442;"2024-12-02";"2024-12-02"
184;57;5;18;3;462;"2024-12-02";"2024-12-02"
185;57;5;18;3;476;"2024-12-02";"2024-12-02"
186;57;5;18;3;494;"2024-12-02";"2024-12-02"
187;57;5;18;3;533;"2024-12-02";"2024-12-02"
188;57;5;18;3;570;"2024-12-02";"2024-12-02"
