"id_inscripcion_curso";"id_ciclo";"id_plan";"id_curso";"id_division";"id_alumno";"createdAt";"updatedAt"
127;57;5;18;1;722;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
128;57;5;18;1;748;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
129;57;5;18;1;753;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
130;57;5;18;1;777;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
131;57;5;18;1;783;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
132;57;5;18;2;88;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
133;57;5;18;2;115;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
134;57;5;18;2;138;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
135;57;5;18;2;146;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
136;57;5;18;2;161;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
137;57;5;18;2;186;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
138;57;5;18;2;912;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
139;57;5;18;2;191;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
140;57;5;18;2;913;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
141;57;5;18;2;245;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
142;57;5;18;2;247;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
143;57;5;18;2;303;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
144;57;5;18;2;323;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
145;57;5;18;2;327;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
146;57;5;18;2;329;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
147;57;5;18;2;352;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
148;57;5;18;2;914;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
149;57;5;18;2;411;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
150;57;5;18;2;426;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
151;57;5;18;2;429;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
152;57;5;18;2;455;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
153;57;5;18;2;472;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
154;57;5;18;2;477;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
155;57;5;18;2;485;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
156;57;5;18;2;501;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
157;57;5;18;2;507;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
158;57;5;18;2;508;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
159;57;5;18;2;515;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
160;57;5;18;2;518;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
161;57;5;18;2;554;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
162;57;5;18;2;564;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
163;57;5;18;2;605;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
164;57;5;18;2;792;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
165;57;5;18;2;639;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
166;57;5;18;2;640;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
167;57;5;18;2;756;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
168;57;5;18;2;791;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
169;57;5;18;3;2;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
170;57;5;18;3;116;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
171;57;5;18;3;188;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
172;57;5;18;3;195;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
173;57;5;18;3;209;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
174;57;5;18;3;789;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
175;57;5;18;3;298;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
176;57;5;18;3;312;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
177;57;5;18;3;313;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
178;57;5;18;3;326;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
179;57;5;18;3;343;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
180;57;5;18;3;790;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
181;57;5;18;3;376;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
182;57;5;18;3;430;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
