"id_fechaExamen";"fechaExamen";"id_turno";"id_materia";"createdAt";"updatedAt";"id_condicion"
76;"2024-04-19 08:00:00";1;221;"2024-04-19 08:00:00";"2024-04-19 08:00:00";2
77;"2024-04-19 08:00:00";1;232;"2024-04-19 08:00:00";"2024-04-19 08:00:00";2
78;"2024-04-19 08:00:00";1;281;"2024-04-19 08:00:00";"2024-04-19 08:00:00";2
79;"2024-04-19 08:00:00";1;207;"2024-04-19 08:00:00";"2024-04-19 08:00:00";2
80;"2024-04-22 13:00:00";1;223;"2024-04-22 13:00:00";"2024-04-22 13:00:00";2
81;"2024-04-29 13:00:00";1;233;"2024-04-29 13:00:00";"2024-04-29 13:00:00";2
82;"2024-04-22 13:00:00";1;237;"2024-04-22 13:00:00";"2024-04-22 13:00:00";2
83;"2024-04-22 13:00:00";1;243;"2024-04-22 13:00:00";"2024-04-22 13:00:00";2
84;"2024-04-29 13:00:00";1;244;"2024-04-29 13:00:00";"2024-04-29 13:00:00";2
85;"2024-04-23 08:00:00";1;220;"2024-04-23 08:00:00";"2024-04-23 08:00:00";2
86;"2024-04-23 08:00:00";1;230;"2024-04-23 08:00:00";"2024-04-23 08:00:00";2
87;"2024-04-23 08:00:00";1;240;"2024-04-23 08:00:00";"2024-04-23 08:00:00";2
88;"2024-04-23 08:00:00";1;265;"2024-04-23 08:00:00";"2024-04-23 08:00:00";2
89;"2024-04-24 13:00:00";1;224;"2024-04-24 13:00:00";"2024-04-24 13:00:00";2
90;"2024-04-24 13:00:00";1;234;"2024-04-24 13:00:00";"2024-04-24 13:00:00";2
91;"2024-04-24 13:00:00";1;256;"2024-04-24 13:00:00";"2024-04-24 13:00:00";2
92;"2024-04-24 13:00:00";1;187;"2024-04-24 13:00:00";"2024-04-24 13:00:00";2
93;"2024-04-29 13:00:00";1;219;"2024-04-29 13:00:00";"2024-04-29 13:00:00";2
94;"2024-04-29 13:00:00";1;229;"2024-04-29 13:00:00";"2024-04-29 13:00:00";2
95;"2024-04-29 13:00:00";1;155;"2024-04-29 13:00:00";"2024-10-28 13:33:00";2
96;"2024-04-29 13:00:00";1;239;"2024-04-29 13:00:00";"2024-04-29 13:00:00";2
97;"2024-04-29 13:00:00";1;279;"2024-04-29 13:00:00";"2024-11-21 15:43:00";2
98;"2024-04-29 13:00:00";1;260;"2024-04-29 13:00:00";"2024-04-29 13:00:00";2
99;"2024-04-29 18:00:00";1;259;"2024-04-29 13:00:00";"2024-11-27 11:44:45";2
100;"2024-04-29 13:00:00";1;273;"2024-04-29 13:00:00";"2024-04-29 13:00:00";2
101;"2024-04-29 13:00:00";1;285;"2024-04-29 13:00:00";"2024-04-29 13:00:00";2
102;"2024-04-29 13:00:00";1;289;"2024-04-29 13:00:00";"2024-04-29 13:00:00";2
103;"2024-04-29 13:00:00";1;287;"2024-04-29 13:00:00";"2024-04-29 13:00:00";2
104;"2024-04-29 13:00:00";1;286;"2024-04-29 13:00:00";"2024-04-29 13:00:00";2
105;"2024-04-29 13:00:00";1;288;"2024-04-29 13:00:00";"2024-04-29 13:00:00";2
106;"2024-04-29 13:00:00";1;290;"2024-04-29 13:00:00";"2024-04-29 13:00:00";2
107;"2024-07-01 08:00:00";2;221;"2024-07-01 08:00:00";"2024-07-01 08:00:00";2
108;"2024-07-01 08:00:00";2;220;"2024-07-01 08:00:00";"2024-07-01 08:00:00";2
109;"2024-07-01 08:00:00";2;232;"2024-07-01 08:00:00";"2024-07-01 08:00:00";2
110;"2024-07-01 08:00:00";2;230;"2024-07-01 08:00:00";"2024-07-01 08:00:00";2
111;"2024-07-01 08:00:00";2;249;"2024-07-01 08:00:00";"2024-07-01 08:00:00";2
112;"2024-07-01 08:00:00";2;240;"2024-07-01 08:00:00";"2024-07-01 08:00:00";2
113;"2024-07-01 08:00:00";2;253;"2024-07-01 08:00:00";"2024-07-01 08:00:00";2
114;"2024-07-01 08:00:00";2;252;"2024-07-01 08:00:00";"2024-07-01 08:00:00";2
115;"2024-07-01 08:00:00";2;272;"2024-07-01 08:00:00";"2024-07-01 08:00:00";2
116;"2024-07-01 08:00:00";2;265;"2024-07-01 08:00:00";"2024-07-01 08:00:00";2
117;"2024-07-01 08:00:00";2;291;"2024-07-01 08:00:00";"2024-07-01 08:00:00";2
118;"2024-07-01 08:00:00";2;280;"2024-07-01 08:00:00";"2024-07-01 08:00:00";2
119;"2024-07-01 08:00:00";2;281;"2024-07-01 08:00:00";"2024-07-01 08:00:00";2
120;"2024-07-01 13:00:00";2;237;"2024-07-01 13:00:00";"2024-07-01 13:00:00";2
121;"2024-07-01 13:00:00";2;244;"2024-07-01 13:00:00";"2024-07-01 13:00:00";2
122;"2024-07-02 13:00:00";2;274;"2024-07-02 13:00:00";"2024-07-02 13:00:00";2
123;"2024-07-02 13:00:00";2;275;"2024-07-02 13:00:00";"2024-07-02 13:00:00";2
124;"2024-07-01 13:00:00";2;292;"2024-07-01 13:00:00";"2024-07-01 13:00:00";2
125;"2024-07-02 08:00:00";2;225;"2024-07-02 08:00:00";"2024-07-02 08:00:00";2
126;"2024-07-02 08:00:00";2;219;"2024-07-02 08:00:00";"2024-07-02 08:00:00";2
127;"2024-07-02 08:00:00";2;235;"2024-07-02 08:00:00";"2024-07-02 08:00:00";2
128;"2024-07-02 08:00:00";2;234;"2024-07-02 08:00:00";"2024-07-02 08:00:00";2
129;"2024-07-02 08:00:00";2;229;"2024-07-02 08:00:00";"2024-07-02 08:00:00";2
130;"2024-07-02 08:00:00";2;245;"2024-07-02 08:00:00";"2024-07-02 08:00:00";2
131;"2024-07-02 08:00:00";2;239;"2024-07-02 08:00:00";"2024-07-02 08:00:00";2
132;"2024-07-02 08:00:00";2;251;"2024-07-02 08:00:00";"2024-07-02 08:00:00";2
133;"2024-07-02 08:00:00";2;263;"2024-07-02 08:00:00";"2024-07-02 08:00:00";2
134;"2024-07-02 08:00:00";2;279;"2024-07-02 08:00:00";"2024-07-02 08:00:00";2
135;"2024-07-02 13:00:00";2;260;"2024-07-02 13:00:00";"2024-07-02 13:00:00";2
136;"2024-07-02 13:00:00";2;259;"2024-07-02 13:00:00";"2024-07-02 13:00:00";2
137;"2024-07-02 13:00:00";2;277;"2024-07-02 13:00:00";"2024-07-02 13:00:00";2
138;"2024-07-02 13:00:00";2;273;"2024-07-02 13:00:00";"2024-07-02 13:00:00";2
139;"2024-07-02 13:00:00";2;285;"2024-07-02 13:00:00";"2024-07-02 13:00:00";2
140;"2024-07-02 13:00:00";2;286;"2024-07-02 13:00:00";"2024-07-02 13:00:00";2
141;"2024-07-02 13:00:00";2;288;"2024-07-02 13:00:00";"2024-07-02 13:00:00";2
142;"2024-07-02 13:00:00";2;290;"2024-07-02 13:00:00";"2024-07-02 13:00:00";2
169;"2024-11-06 14:32:01";3;222;"2024-11-06 14:32:01";"2024-11-06 14:32:01";0
170;"2024-11-26 13:36:04";5;220;"2024-11-26 13:36:04";"2024-11-26 13:36:04";0
171;"2024-11-27 11:48:15";3;218;"2024-11-27 11:48:15";"2024-11-27 11:48:15";0
172;"2024-11-27 12:20:32";3;251;"2024-11-27 12:20:32";"2024-11-27 12:20:32";0
173;"2024-11-27 08:00:00";3;250;"2024-11-27 13:18:08";"2024-11-27 13:46:26";0
174;"2024-11-27 13:20:01";4;250;"2024-11-27 13:20:01";"2024-11-27 13:20:01";0
175;"2024-12-01 08:00:00";4;250;"2024-11-27 13:35:47";"2024-11-27 13:52:15";1
176;"2024-12-20 13:00:00";4;292;"2024-11-27 14:25:06";"2024-11-27 14:25:54";5
