"id_materia";"nombre";"area";"id_curso";"createdAt";"updatedAt"
106;"FÍSICA";"";9;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
107;"QUÍMICA";"";9;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
108;"INGLÉS";"";9;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
109;"MECANOGRAFÍA";"";9;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
110;"PRRÁCTICA CONTABLE";"";9;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
111;"INFORMÁTICA";"";9;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
112;"CONTABLIDAD";"";9;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
113;"EDUCACIÓN FÍSICA";"";9;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
114;"GEOGRAFÍA";"";10;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
115;"FILOSOFÍA";"";10;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
116;"FORMACIÓN CÍVICA";"";10;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
117;"LITERATURA";"";10;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
118;"QUÍMICA";"";10;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
119;"INGLÉS";"";10;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
120;"MATEMÁTICA FINANCIERA";"";10;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
121;"MECANOGRAFÍA";"";10;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
122;"DERECHO COMERCIAL";"";10;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
123;"DERECHO LABORAL";"";10;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
124;"ECONOMÍA POLÍTICA";"";10;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
125;"PRRÁCTICA CONTABLE";"";10;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
126;"INFORMÁTICA";"";10;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
127;"CONTABLIDAD";"";10;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
128;"EDUCACIÓN FÍSICA";"";10;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
129;"LENGUA CASTELLANA";"";11;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
130;"INGLÉS";"";11;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
131;"MATEMÁTICA";"";11;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
132;"BIOLOGÍA";"";11;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
133;"FÍSICA";"";11;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
134;"QUÍMICA";"";11;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
